group,match_number,date,local_time,local_offset,time_utc,time_ist,home_team,away_team,venue,city
A,1,2026-06-11,13:00,UTC-6,19:00,00:30,Mexico,South Africa,,
A,2,2026-06-11,20:00,UTC-6,02:00,07:30,South Korea,Czechia,,
B,3,2026-06-12,15:00,UTC-4,19:00,00:30,Canada,Bosnia and Herzegovina,,
D,4,2026-06-12,18:00,UTC-7,01:00,06:30,United States,Paraguay,,
B,8,2026-06-13,12:00,UTC-7,19:00,00:30,Qatar,Switzerland,,
C,5,2026-06-13,18:00,UTC-4,22:00,03:30,Brazil,Morocco,,
D,6,2026-06-13,18:00,UTC-7,01:00,06:30,Australia,Türkiye,,
C,7,2026-06-13,18:00,UTC-4,22:00,03:30,Brazil,Morocco,,
E,10,2026-06-14,12:00,UTC-5,17:00,22:30,Germany,Curaçao,NRG Stadium,Houston
F,11,2026-06-14,15:00,UTC-5,20:00,01:30,Netherlands,Japan,,
E,9,2026-06-14,19:00,UTC-4,23:00,04:30,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia
F,12,2026-06-14,20:00,UTC-6,02:00,07:30,Sweden,Tunisia,,
H,14,2026-06-15,12:00,UTC-4,16:00,21:30,Spain,Cape Verde,,
G,15,2026-06-15,12:00,UTC-7,19:00,00:30,Iran,New Zealand,,
G,16,2026-06-15,12:00,UTC-7,19:00,00:30,Belgium,Egypt,,
H,13,2026-06-15,18:00,UTC-4,22:00,03:30,Saudi Arabia,Uruguay,,
I,17,2026-06-16,15:00,UTC-4,19:00,00:30,France,Senegal,,
I,18,2026-06-16,15:00,UTC-4,19:00,00:30,France,Senegal,MetLife Stadium,East Ru
J,19,2026-06-16,20:00,UTC-5,01:00,06:30,Argentina,Algeria,,
J,20,2026-06-16,21:00,UTC-7,04:00,09:30,Argentina,Algeria,,
K,23,2026-06-17,12:00,UTC-5,17:00,22:30,Portugal,DR Congo,NRG Stadium,Houston
L,22,2026-06-17,15:00,UTC-5,20:00,01:30,England,Croatia,Gillette Stadium,Foxborough
L,21,2026-06-17,19:00,UTC-4,23:00,04:30,England,Croatia,Toronto Stadium,Toronto
K,24,2026-06-17,20:00,UTC-6,02:00,07:30,Portugal,DR Congo,,
A,25,2026-06-18,12:00,UTC-4,16:00,21:30,Czechia,South Africa,,
B,26,2026-06-18,12:00,UTC-7,19:00,00:30,Switzerland,Bosnia and Herzegovina,,
B,27,2026-06-18,15:00,UTC-7,22:00,03:30,Canada,Qatar,,
A,28,2026-06-18,19:00,UTC-6,01:00,06:30,Mexico,South Korea,,
D,31,2026-06-19,12:00,UTC-7,19:00,00:30,United States,Australia,,
C,29,2026-06-19,18:00,UTC-4,22:00,03:30,Brazil,Haiti,,
C,30,2026-06-19,21:00,UTC-4,01:00,06:30,Scotland,Morocco,,
D,32,2026-06-19,21:00,UTC-7,04:00,09:30,United States,Australia,,
F,35,2026-06-20,12:00,UTC-5,17:00,22:30,Netherlands,Sweden,,
E,33,2026-06-20,16:00,UTC-4,20:00,01:30,Germany,Ivory Coast,BMO Field,Toronto
E,34,2026-06-20,19:00,UTC-5,00:00,05:30,Ecuador,Curaçao,Arrowhead Stadium,Kansas City
F,36,2026-06-20,22:00,UTC-6,04:00,09:30,Tunisia,Japan,,
H,38,2026-06-21,12:00,UTC-4,16:00,21:30,Spain,Saudi Arabia,,
G,39,2026-06-21,12:00,UTC-7,19:00,00:30,Iran,New Zealand,,
H,37,2026-06-21,18:00,UTC-4,22:00,03:30,Spain,Saudi Arabia,,
G,40,2026-06-21,18:00,UTC-7,01:00,06:30,New Zealand,Egypt,,
J,43,2026-06-22,12:00,UTC-5,17:00,22:30,Argentina,Austria,,
I,42,2026-06-22,15:00,UTC-4,19:00,00:30,Iraq,Norway,,
I,41,2026-06-22,18:00,UTC-4,22:00,03:30,France,Iraq,,
J,44,2026-06-22,20:00,UTC-7,03:00,08:30,Jordan,Algeria,,
K,47,2026-06-23,12:00,UTC-5,17:00,22:30,Uzbekistan,Colombia,,
L,45,2026-06-23,16:00,UTC-4,20:00,01:30,Ghana,Panama,,
L,46,2026-06-23,19:00,UTC-4,23:00,04:30,England,Ghana,,
K,48,2026-06-23,20:00,UTC-6,02:00,07:30,Portugal,Uzbekistan,Mercedes-Benz Stadium,Atlanta DR Co
B,51,2026-06-24,12:00,UTC-7,19:00,00:30,Canada,Qatar,,
B,52,2026-06-24,12:00,UTC-7,19:00,00:30,Bosnia and Herzegovina,Qatar,,
C,49,2026-06-24,18:00,UTC-4,22:00,03:30,Scotland,Brazil,,
C,50,2026-06-24,18:00,UTC-4,22:00,03:30,Scotland,Brazil,,
A,53,2026-06-24,19:00,UTC-6,01:00,06:30,Czechia,Mexico,,
A,54,2026-06-24,19:00,UTC-6,01:00,06:30,Czechia,Mexico,,
E,55,2026-06-25,16:00,UTC-4,20:00,01:30,Curaçao,Ivory Coast,Lincoln Financial Field,Philadelphia
E,56,2026-06-25,16:00,UTC-4,20:00,01:30,Ecuador,Germany,MetLife Stadium,East Rutherford
F,57,2026-06-25,18:00,UTC-5,23:00,04:30,Japan,Sweden,,
F,58,2026-06-25,18:00,UTC-5,23:00,04:30,Tunisia,Netherlands,,
D,60,2026-06-25,19:00,UTC-7,02:00,07:30,Paraguay,Australia,,
D,59,2026-06-25,20:00,UTC-7,03:00,08:30,Türkiye,United States,,
I,62,2026-06-26,15:00,UTC-4,19:00,00:30,Norway,France,,
H,66,2026-06-26,18:00,UTC-6,00:00,05:30,Uruguay,Spain,,
H,65,2026-06-26,19:00,UTC-5,00:00,05:30,Uruguay,Cape Verde,,
